Rk,Player,Pos,Age,Tm,MP,FG,FGA,FG%,TRB,AST,STL,BLK,PTS,STARS
56,Bojan Bogdanovic,SF,30,UTA,33.1,6.6,14.8,0.447,4.1,2.1,0.5,0.1,20.2,3
57,Dennis Schroder,PG,26,OKC,30.8,7,14.8,0.469,3.6,4,0.7,0.2,18.9,3
58,Kelly Oubre Jr.,SF,24,PHO,34.5,6.7,14.8,0.452,6.4,1.5,1.3,0.7,18.7,3
59,Evan Fournier,SG,27,ORL,31.5,6.6,14.1,0.467,2.6,3.2,1.1,0.2,18.5,3
60,Devonte' Graham,PG,24,CHO,35.1,5.8,15.3,0.382,3.4,7.5,1,0.2,18.2,3
61,Lou Williams,SG,33,LAC,28.7,6,14.4,0.418,3.1,5.6,0.7,0.2,18.2,3
62,Derrick Rose,PG,31,DET,26,7.4,15.1,0.49,2.4,5.6,0.8,0.3,18.1,3
63,Terry Rozier,PG,25,CHO,34.3,6.3,14.9,0.423,4.4,4.1,1,0.2,18,3
64,Marcus Morris,SF,30,LAC,31.2,5.7,13.1,0.438,5,1.4,0.8,0.5,16.7,3
65,Dillon Brooks,SG,24,MEM,28.9,6,14.6,0.407,3.3,2.1,0.9,0.4,16.2,3
66,Goran Dragic,PG,33,MIA,28.2,5.4,12.3,0.441,3.2,5.1,0.7,0.2,16.2,3
67,Norman Powell,SG,26,TOR,28.4,5.7,11.5,0.495,3.7,1.8,1.2,0.4,16,3
68,Tim Hardaway Jr.,SG,27,DAL,29.5,5.4,12.5,0.434,3.3,1.9,0.6,0.1,15.8,3
69,Carmelo Anthony,PF,35,POR,32.8,5.8,13.5,0.43,6.3,1.5,0.8,0.5,15.4,3
70,Serge Ibaka,C,30,TOR,27,6.2,12.2,0.512,8.2,1.4,0.5,0.8,15.4,3
71,Davis Bertans,PF,27,WAS,29.3,4.9,11.3,0.434,4.5,1.7,0.7,0.6,15.4,3
72,Kendrick Nunn,SG,24,MIA,29.3,6,13.6,0.439,2.7,3.3,0.8,0.2,15.3,3
73,J.J. Redick,SG,35,NOP,26.4,4.8,10.5,0.453,2.5,2,0.3,0.2,15.3,3
74,Jordan Clarkson,SG,27,UTA,24,5.5,12.2,0.454,2.6,1.9,0.6,0.2,15.2,3
75,Will Barton,SF,29,DEN,33,5.7,12.7,0.45,6.3,3.7,1.1,0.5,15.1,3
76,Bogdan Bogdanovic,SG,27,SAC,29,5.5,12.6,0.44,3.4,3.4,1,0.2,15.1,3
77,Alec Burks,SG,28,PHI,26.6,4.9,11.6,0.418,4.3,2.9,0.9,0.3,15,3
78,Jonas Valanciunas,C,27,MEM,26.4,6.2,10.6,0.585,11.3,1.9,0.4,1.1,14.9,3
79,Lauri Markkanen,PF,22,CHI,29.8,5,11.8,0.425,6.3,1.5,0.8,0.5,14.7,3
80,Terrence Ross,SG,28,ORL,27.4,4.9,12.3,0.403,3.2,1.2,1.1,0.3,14.7,3
81,Joe Harris,SF,28,BRK,30.8,5.5,11.4,0.486,4.3,2.1,0.6,0.2,14.5,3
82,Harrison Barnes,PF,27,SAC,34.5,5.1,11,0.46,4.9,2.2,0.6,0.2,14.5,3
83,Aaron Gordon,PF,24,ORL,32.5,5.4,12.4,0.437,7.7,3.7,0.8,0.6,14.4,3
84,RJ Barrett,SG,19,NYK,30.4,5.2,13,0.402,5,2.6,1,0.3,14.3,3
85,Eric Paschall,PF,23,GSW,27.6,5.3,10.7,0.497,4.6,2.1,0.5,0.2,14,3
86,Josh Richardson,SG,26,PHI,30.8,5.1,11.7,0.43,3.2,2.9,0.9,0.7,13.7,3
87,Duncan Robinson,SF,25,MIA,29.7,4.4,9.4,0.47,3.2,1.4,0.5,0.3,13.5,3
88,Tyler Herro,SG,20,MIA,27.4,4.9,11.5,0.428,4.1,2.2,0.6,0.2,13.5,3
89,Coby White,SG,19,CHI,25.8,4.8,12.2,0.394,3.5,2.7,0.8,0.1,13.2,3
90,Christian Wood,PF,24,DET,21.4,4.6,8.2,0.567,6.3,1,0.5,0.9,13.1,3
91,Miles Bridges,SF,21,CHO,30.7,4.9,11.6,0.424,5.6,1.8,0.6,0.7,13,3
92,Ricky Rubio,PG,29,PHO,31,4.4,10.6,0.415,4.7,8.8,1.4,0.2,13,3
93,Marcus Smart,SG,25,BOS,32,4.3,11.4,0.375,3.8,4.9,1.7,0.5,12.9,3
94,Kyle Kuzma,PF,24,LAL,25,4.8,11,0.436,4.5,1.3,0.5,0.4,12.8,3
95,Damion Lee,SG,27,GSW,29,4.3,10.4,0.417,4.9,2.7,1,0.1,12.7,3
96,Seth Curry,SG,29,DAL,24.6,4.4,9,0.495,2.3,1.9,0.6,0.1,12.4,3
97,Robert Covington,PF,29,HOU,30.5,4.4,10.3,0.422,6.6,1.3,1.6,1.3,12.4,3
98,De'Andre Hunter,SF,22,ATL,32,4.4,10.8,0.41,4.5,1.8,0.7,0.3,12.3,3
99,Darius Garland,PG,20,CLE,30.9,4.7,11.8,0.401,1.9,3.9,0.7,0.1,12.3,3
100,Kevin Huerter,SG,21,ATL,31.4,4.5,10.9,0.413,4.1,3.8,0.9,0.5,12.2,3
101,P.J. Washington,PF,21,CHO,30.3,4.6,10.2,0.455,5.4,2.1,0.9,0.8,12.2,3
102,Taurean Prince,SF,25,BRK,29,4.3,11.5,0.376,6,1.8,0.9,0.4,12.1,3
103,Myles Turner,C,23,IND,29.5,4.3,9.5,0.457,6.6,1.2,0.7,2.1,12.1,3
104,Brandon Clarke,PF,23,MEM,22.4,5.1,8.3,0.618,5.9,1.4,0.6,0.8,12.1,3
105,Markelle Fultz,PG,21,ORL,27.7,5,10.7,0.465,3.3,5.1,1.3,0.2,12.1,3
106,Tristan Thompson,C,28,CLE,30.2,5.1,9.9,0.512,10.1,2.1,0.6,0.9,12,3
107,Jerami Grant,PF,25,DEN,26.6,4.3,8.9,0.478,3.5,1.2,0.7,0.8,12,3
108,Al Horford,C,33,PHI,30.2,4.8,10.6,0.45,6.8,4,0.8,0.9,11.9,3
109,Lonzo Ball,PG,22,NOP,32.1,4.4,10.9,0.403,6.1,7,1.4,0.6,11.8,3
110,Glenn Robinson III,SF,26,PHI,28.8,4.6,9.5,0.486,4.4,1.5,0.9,0.3,11.7,3
111,Patty Mills,PG,31,SAS,22.5,3.9,9.1,0.431,1.6,1.8,0.8,0.1,11.6,3
112,Nemanja Bjelica,PF,31,SAC,27.9,4.4,9.1,0.481,6.4,2.8,0.9,0.6,11.5,3
113,Derrick White,SG,25,SAS,24.7,3.7,8.1,0.458,3.3,3.5,0.6,0.9,11.3,3
114,Bryn Forbes,SG,26,SAS,25.1,3.8,9.2,0.417,2,1.7,0.5,0,11.2,3
115,Malik Beasley,SG,23,MIN,22,4.1,9.7,0.425,2.7,1.4,0.7,0.1,11.2,3
116,Jarrett Allen,C,21,BRK,26.5,4.3,6.6,0.649,9.6,1.6,0.6,1.3,11.1,3
117,Cody Zeller,C,27,CHO,23.1,4.3,8.3,0.524,7.1,1.5,0.7,0.4,11.1,3
118,Cedi Osman,SF,24,CLE,29.4,4.1,9.4,0.437,3.6,2.4,0.8,0.2,11,3
119,Steven Adams,C,26,OKC,26.7,4.5,7.6,0.592,9.3,2.3,0.8,1.1,10.9,3
120,Dejounte Murray,PG,23,SAS,25.6,4.5,9.7,0.462,5.8,4.1,1.7,0.3,10.9,3
121,Jeff Teague,PG,31,ATL,24.8,3.6,8.3,0.436,2.4,5.2,0.7,0.3,10.9,3
122,Ish Smith,PG,31,WAS,26.3,4.5,10.1,0.447,3.2,4.9,0.9,0.4,10.9,3
123,Rudy Gay,PF,33,SAS,21.8,4,8.9,0.446,5.4,1.7,0.5,0.5,10.8,3
124,Dario Saric,PF,25,PHO,24.7,3.9,8.2,0.476,6.2,1.9,0.6,0.2,10.7,3
125,OG Anunoby,SF,22,TOR,29.9,4.1,8.2,0.505,5.3,1.6,1.4,0.7,10.6,3
126,Cam Reddish,SF,20,ATL,26.7,3.7,9.6,0.384,3.7,1.5,1.1,0.5,10.5,3
127,Danuel House,SF,26,HOU,30.4,3.7,8.6,0.427,4.2,1.3,1.1,0.5,10.5,3
128,D.J. Augustin,PG,32,ORL,24.9,3.2,8.1,0.399,2.1,4.6,0.6,0,10.5,3
129,Jae Crowder,SF,29,MIA,28.8,3.5,8.7,0.401,5.9,2.5,1.1,0.4,10.5,3
130,Gary Harris,SG,25,DEN,31.8,3.9,9.3,0.42,2.9,2.1,1.4,0.3,10.4,3
131,Troy Brown Jr.,SG,20,WAS,25.8,4,9,0.439,5.6,2.6,1.2,0.1,10.4,3
132,Garrett Temple,SG,33,BRK,27.9,3.6,9.5,0.378,3.5,2.5,0.8,0.5,10.3,3
133,Thaddeus Young,PF,31,CHI,24.9,4.2,9.4,0.448,4.9,1.8,1.4,0.4,10.3,3
134,Malik Monk,SG,21,CHO,21.3,3.9,8.9,0.434,2.9,2.1,0.5,0.3,10.3,3
135,Langston Galloway,SG,28,DET,25.8,3.6,8.2,0.435,2.3,1.5,0.7,0.2,10.3,3
